# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
   9100    2.86e-01  2.58e-01    1.13e-02  1.09e-02    9.19e-03  8.25e-03    9.5e-04
   9200    2.55e-01  2.92e-01    8.20e-03  8.91e-03    8.21e-03  9.40e-03    9.5e-04
   9300    2.64e-01  3.01e-01    8.50e-03  1.45e-02    8.49e-03  9.61e-03    9.5e-04
   9400    2.52e-01  2.81e-01    5.71e-03  1.29e-02    8.13e-03  8.96e-03    9.5e-04
   9500    2.51e-01  2.33e-01    5.96e-03  7.02e-03    8.09e-03  7.52e-03    9.5e-04
   9600    2.54e-01  2.68e-01    1.01e-02  1.33e-02    8.13e-03  8.52e-03    9.5e-04
   9700    2.53e-01  2.53e-01    1.31e-02  1.44e-02    8.04e-03  7.99e-03    9.5e-04
   9800    2.49e-01  3.57e-01    5.71e-03  4.68e-03    8.04e-03  1.16e-02    9.5e-04
   9900    2.46e-01  2.55e-01    8.03e-03  8.98e-03    7.90e-03  8.20e-03    9.5e-04
  10000    2.59e-01  2.47e-01    7.94e-03  3.64e-03    8.49e-03  8.20e-03    9.0e-04
